#,Project,Developer,Zone,Locality,MahaRERA Reg. No.,Possession,Poss. Month,Poss. Year,Configurations,Carpet Min (sqft),Carpet Max (sqft),Price Range (quoted),Price Min (Rs Cr),Price Max (Rs Cr),Units / Project Area,Status / Construction Notes,Date Confidence,Source,owner
111,Kodre Blossom Park,Kodre Ventures,East Pune,Mundhwa (Magarpatta Rd),P52100080586,Dec 2027,12,2027,2 BHK,785,847,90 L - 1.05 Cr,0.90,1.05,48 units / 0.5 ac,"Recent registration, early construction",High,link,
112,Kwality Vrindavan Heights,Kwality World,East Pune,Hadapsar (Tupe Patil Rd),P52100016466; P52100054968,Mar 2027,3,2027,"1.5, 2 BHK",480,688,45.1 - 64.7 L,0.45,0.65,214 units / 3.27 ac,2017 registration + newer phase; part may be delivered,Medium,link,
113,Kumar Purab A3,Kumar Properties,East Pune,Hadapsar / Magarpatta City,P52100047614,Dec 2027,12,2027,"2, 3 BHK",721,985,90.2 L - 1.23 Cr,0.90,1.23,42 units / 0.27 ac,Single building within larger Purab layout,High,link,
114,Akshar Altorios,Akshar Developers,East Pune,Hadapsar (nr Amanora),P52100054382,Dec 2027,12,2027,"1, 1.5, 2, 3 BHK",670,"1,450",70 L - 1.6 Cr,0.70,1.60,216 units / 3 ac,"4 towers, 13 floors",High,link,
115,Vilas Yashwin Enchante,Vilas Javdekar,East Pune,Wagholi (nr Genba Moze College),P52100046510; P52100077455,Jun 2027,6,2027,"2, 3 BHK",730,900,85 - 95 L,0.85,0.95,941 units / 4.21 ac,Two phases; second likely runs later,Medium,link,
116,Gagan Adira Phase 2,Gagan Developers,East Pune,Wagholi (Nagar Rd),P52100053118,Aug 2027,8,2027,"1, 2, 3 BHK",646,"1,257",65 L - 1.35 Cr,0.65,1.35,180 units / 3.2 ac,"4 towers, 12 floors",High,link,
117,Anshul Kanvas,Anshul Group,East Pune,Wagholi (Ahmednagar Rd),P52100023770,Dec 2027,12,2027,"1, 2 BHK",486,796,34 - 54 L,0.34,0.54,850 units / 12 ac,"2019 registration, phased township",Medium,link,
118,Abhiman Blithe Icon,Abhiman Associates,East Pune,Wagholi (Awhalwadi Rd),P52100045932,Dec 2027,12,2027,"1, 2 BHK",370,571,32 - 49 L,0.32,0.49,118 units / 0.19 ac,"Budget segment, UC",High,link,
119,AGAC Sanskruti Oriana,AGAC Developers LLP,East Pune,Wagholi (Lohgaon Rd),P52100079850,Dec 2027,12,2027,"2, 3 BHK",749,849,65 - 80 L,0.65,0.80,136 units / 1 ac,Recent registration - genuine new launch,High,link,
120,Ravinanda Towers,Ravinanda Landmarks,East Pune,"Kesnand, Wagholi",P52100015048,Dec 2027,12,2027,"1, 2 BHK",418,571,25.9 - 44 L,0.26,0.44,547 units / 1.58 ac,2017 registration - date clearly extended; check RERA extension history,Low,link,
121,Majestique Memories,Majestique Landmarks,East Pune,Handewadi / Mohammedwadi,P52100001168; P52100050004,Dec 2027,12,2027,2 BHK,573,688,60 - 80 L,0.60,0.80,370 units / 7 ac,First registration 2017 - earlier towers likely delivered,Medium,link,
122,Gulmohar Sky Park,Gulmohar Builders,East Pune,Dhanori,P52100045998,Jun 2027,6,2027,2 BHK,670,690,60 - 70 L,0.60,0.70,185 units / 3.5 ac,Under construction,High,link,
123,Shriram Nysa,Shriram Associates,East Pune,Dhanori (nr Goodwill Square),P52100049622,Dec 2027,12,2027,"2, 3 BHK",827,"1,078",68 - 88 L,0.68,0.88,338 units / 5.85 ac,"4 towers, 9 floors",High,link,
124,Triaa One Aretha,Triaa,East Pune,Dhanori (Lohegaon Rd),P52100054352,Dec 2027,12,2027,"2, 3, 4 BHK",520,"1,130",55 L - 1.3 Cr,0.55,1.30,450 units / 4 ac,"3 towers, 19 floors",High,link,
125,Xrbia SingaPune,Xrbia Developers,East Pune,Dhanori (nr DY Patil),P52100021543; P52100021544; P52100021752,Dec 2027,12,2027,"1 RK, 1, 2 BHK",195,486,15 - 40 L,0.15,0.40,2243 units / 21 ac,2019 registrations; developer has delay history - verify before considering,Low,link,
126,Kate Mozze Hollyhock City,Kate Moze Associates,East Pune,Lohegaon (Bhaji Mandi Rd),P52100052430; P52100013107,Mar 2027,3,2027,"1, 2 BHK",423,621,35 - 55 L,0.35,0.55,210 units / 6 ac,Phased; 2017 phase likely delivered,Medium,link,
127,Kate Mozze Eastern Royale,Kate Moze Associates,East Pune,Lohegaon,P52100013009,Mar 2027,3,2027,"1, 2 BHK",502,747,45.2 - 67.2 L,0.45,0.67,79 units / 0.74 ac,2017 registration with extended date,Low,link,
128,Choice Goodwill Elements,Choice Group,East Pune,Lohegaon (DY Patil University Rd),P52100078181,Dec 2027,12,2027,"2, 3 BHK",760,"1,010",76.6 - 87.2 L,0.77,0.87,56 units / 1.01 ac,Recent registration - new launch,High,link,
129,Dalecon Elite Platinum,Dalecon Realtors,East Pune,Lohegaon (DY Patil Rd),P52100077594,Dec 2027,12,2027,"2, 3 BHK",667,"1,143",59 L - 1.02 Cr,0.59,1.02,31 units / 0.86 ac,Recent registration - new launch,High,link,
130,F5 Mindspace Residency,F5 Realtors,East Pune,Lohegaon (nr Orchid Hospital),P52100076913,Dec 2027,12,2027,"2, 3, 4 BHK",760,"1,715",65 L - 2.1 Cr,0.65,2.10,172 units / 1.29 ac,Recent registration - new launch,High,link,
131,Laxmi Emerald,Laxmi Group,East Pune,Lohegaon,P52100004583; P52100033122,Dec 2027,12,2027,"2, 2.5 BHK",690,850,50 - 80 L,0.50,0.80,358 units / 4 ac,2017 original registration; earlier towers likely occupied,Low,link,
132,Tirupati Regalia,Tirupati Group,East Pune,Vishrantwadi,P52100019785; P52100022720; P52100053704,Sep 2027,9,2027,"2, 2.5, 3 BHK",760,"1,080",75 L - 1.1 Cr,0.75,1.10,227 units / 4.14 ac,Multi-phase; latest phase qualifies,Medium,link,
133,Mittal Greenyards Phase 1,Mittal Brothers,East Pune,Vishrantwadi / Kalas,P52100047670,Dec 2027,12,2027,"1, 2 BHK",825,"1,415",80 L - 1.6 Cr,0.80,1.60,60 units,Areas are super built-up; price band looks inconsistent - verify,Low,link,
134,Oxy Benicio,Oxy Buildcorp,East Pune,Viman Nagar,P52100054196,Jun 2027,6,2027,"2, 3 BHK",620,"1,129",1.04 - 1.9 Cr,1.04,1.90,47 units / 0.44 ac,"Boutique, 1 tower 7 floors",High,link,
135,Belvalkar Athena,Belvalkar Housing,East Pune,Kalyani Nagar (Sai Park Rd),P52100077149,Jun 2027,6,2027,"2, 3, 4 BHK","1,177","1,403",2.73 - 3.25 Cr,2.73,3.25,37 units / 0.56 ac,Jun-2027 on a 2024/25 registration is aggressive - treat as optimistic,Medium,link,
136,Nyati Evoque,Nyati Group,East Pune,Kalyani Nagar,P52100056152,Dec 2027,12,2027,"3, 4 BHK","1,519","1,780",3.5 - 4.5 Cr,3.50,4.50,198 units / 2 ac,"2 towers, 27 floors; luxury",High,link,
137,Kolte Patil Equa,Kolte Patil Developers,East Pune,Wagholi,P52100032093,Dec 2026,12,2026,"2, 3 BHK",549,"1,067",51.8 L - 1.1 Cr,0.52,1.10,128 units / 2.5 ac,Near handover - check OC status,High,link,
138,Majestique Mayberry,Majestique Landmarks,East Pune,Wagholi,P52100045896,Dec 2026,12,2026,"2, 3 BHK",749,"1,028",60 - 82 L,0.60,0.82,560 units / 5 ac,Near handover - check OC status,High,link,
139,Mantra Mesmer,Mantra Properties,East Pune,Keshav Nagar,P52100030387; P52100030590,Dec 2026,12,2026,"2, 3 BHK + duplex",751,"1,161",1.05 - 1.62 Cr,1.05,1.62,588 units / 4.5 ac,Near handover - check OC status,High,link,
140,Amanora Crown Towers,Amanora Group,East Pune,Hadapsar / Amanora,P52100047454,Dec 2026,12,2026,2-5 BHK,770,"1,930",1.55 - 3.95 Cr,1.55,3.95,305 units / 2.79 ac,Near handover - check OC status,High,link,
141,Empyrean Leela,Empyrean Landmarks,East Pune,Kharadi,P52100052570,Dec 2026,12,2026,"2, 3 BHK",774,"1,044",1.03 - 1.38 Cr,1.03,1.38,37 units / 0.32 ac,Near handover - check OC status,High,link,
142,Kohinoor Viva City,Kohinoor Group,East Pune,Dhanori,P52100032086,Dec 2026,12,2026,"2, 3 BHK",730,"1,160",80 L - 1.5 Cr,0.80,1.50,450 units / 3.5 ac,Near handover - check OC status,High,link,
143,Tribeca Yoo One,Tribeca Developers,South & Central Pune,NIBM Road,P52100045735,Dec 2027,12,2027,"3, 3.5, 4 BHK","1,680","2,300",2.31 - 3.40 Cr,2.31,3.40,221 units / 5.69 ac,UC; structure 53% (Nov 2025),High,link,
144,Triaa 38 Divine,Triaa Housing,South & Central Pune,Kondhwa (Katraj-Kondhwa Rd),P52100048019,Dec 2027,12,2027,"2, 3 BHK",776,905,74 - 92 L,0.74,0.92,156 units / 1.23 ac,UC; structure 60% (Apr 2025),High,link,
145,Gagan Myra,Gagan Galaxy Realty LLP,South & Central Pune,Kondhwa,P52100050157,Dec 2027,12,2027,"1, 2 BHK",524,774,58.0 - 85.5 L,0.58,0.86,72 units / 1.71 ac,"4 wings, B1+B2+G+22",High,link,
146,Miracle Aero East (Ph III & IV),Miracle Gurukrupa / Miracle Associates,South & Central Pune,Undri,P52100049336; P52100078466,Dec 2027,12,2027,"2, 3 BHK",712,"1,045",60.8 - 87.2 L,0.61,0.87,177 units / 0.78 ac,Earlier phases delivered; Ph III/IV under construction,High,link,
147,Kanifnath Royal KP Stellar,Kanifnath Properties,South & Central Pune,Mohammadwadi / NIBM Annexe,P52100052077,Dec 2027,12,2027,"2, 3 BHK",770,"1,030",82 L - 1.09 Cr,0.82,1.09,65 units / 1.39 ac,"Structure 80%, finishing 75% (Apr 2025)",Medium,link,
148,K Raheja Sterling,K Raheja Corp,South & Central Pune,Mohammadwadi,P52100032850; P52100032431; P52100032839; P52100033088; P52100052201,Nov 2026,11,2026,"2, 3 BHK",679,"1,058",97.7 L - 1.39 Cr,0.98,1.39,742 units / 6 ac,Partially ready; structure 73% (Nov 2025),High,link,
149,Lodha Bella Vita,Lodha Group,South & Central Pune,NIBM Road,P52100046081; P52100045768; P52100024215; P52100034751; P52100047378; P52100035060,Dec 2026,12,2026,2-5 BHK,720,"2,134",1.03 - 3.06 Cr,1.03,3.06,1122 units / 12 ac,Partially ready-to-move; later towers UC,High,link,
150,Kolte Patil Rose Parade,Kolte Patil Developers,South & Central Pune,Kondhwa,P52100080374,Jun 2026,6,2026,"3, 4 BHK","1,170","2,200",1.64 - 3.18 Cr,1.64,3.18,156 units / 5 ac,"UC, low-density",High,link,
151,Sheth Splendour Greens,Sheth Realty,South & Central Pune,Kondhwa,P52100021159,Jun 2026,6,2026,"1, 2 BHK",491,813,46 - 75 L,0.46,0.75,250 units / 2 ac,"UC; ~Rs 7,850/sqft",High,link,
152,K Raheja Stellar,K Raheja Corp,South & Central Pune,NIBM,,Dec 2026,12,2026,"2, 3, 4 BHK","1,051","2,360",1.45 - 3.30 Cr,1.45,3.30,,Aggregator listing only,Low,link,
153,ARV Regalia,ARV Group,South & Central Pune,NIBM / Undri,,Dec 2026,12,2026,"2, 3 BHK",610,860,50 - 80 L,0.50,0.80,,Aggregator listing only,Low,link,
154,Ram India Address One,Ram India Group,South & Central Pune,Bibwewadi,P52100050511,Dec 2027,12,2027,"3, 4 BHK","1,101","1,415",2.25 - 2.80 Cr,2.25,2.80,120 units / 1.15 ac,Under construction,High,link,
155,Ram India Swastika,Ram India Group,South & Central Pune,Bibwewadi,P52100048349,Dec 2026,12,2026,"2, 3 BHK",787,"1,256",1.42 - 2.28 Cr,1.42,2.28,40 units / 0.79 ac,Structure 95% (Nov 2025),High,link,
156,Shapoorji Premier Tower,Shapoorji Pallonji Real Estate,South & Central Pune,Bibwewadi,,Dec 2026,12,2026,"2, 3 BHK",692,970,1.39 - 1.95 Cr,1.39,1.95,568 units / 17 ac,New launch / early UC; 3 towers G+30. RERA not located,Medium,link,
157,Ranawat Aura Divine,Ranawat Group,South & Central Pune,Salisbury Park,P52100054869,Dec 2026,12,2026,3 BHK,"1,020","1,320",2.50 - 2.80 Cr,2.50,2.80,12 units / 0.12 ac,Structure 80% (Jan 2025),Medium,link,
158,SKYi 5 Racecourse,Enerrgia SKYi,South & Central Pune,Wanowrie,P52100053604; P52100077439; PR1262022501357,Dec 2027,12,2027,"3, 4, 5 BHK","1,330","2,724",3.03 - 6.21 Cr,3.03,6.21,276 units / 4.5 ac,"3 x 23-storey, IGBC Platinum",High,link,
159,Skyi Iris Racecourse,SKYi,South & Central Pune,Wanowrie,P52100052969,Jun 2027,6,2027,"3, 4, 5 BHK","1,447","2,724",2.80 - 6.00 Cr,2.80,6.00,40 units / 0.99 ac,Structure 47% (Aug 2024),High,link,
160,Kakkad Kailash Kutir Phase 2,Kakkad Group,South & Central Pune,Wanowrie,P52100050090,Sep 2027,9,2027,"2, 3 BHK",799,"1,200",1.35 - 1.73 Cr,1.35,1.73,,Under construction,High,link,
161,Kakade Paradise CHS,Kakade Associates,South & Central Pune,Wanowrie,P52100053223,Dec 2026,12,2026,"2, 3 BHK",754,"1,175",1.19 - 1.83 Cr,1.19,1.83,49 units / 0.43 ac,Under construction,High,link,
162,Narsinh Golden Lake,Narsinh Associates,South & Central Pune,Katraj,P52100055100,Dec 2027,12,2027,"1, 2, 3 BHK",436,698,39.5 - 63.2 L,0.40,0.63,36 units / 1.19 ac,Structure 43% (Dec 2024),High,link,
163,Siddhivinayak Siddhi Avenue,Siddhivinayak Developers,South & Central Pune,Katraj,,Dec 2027,12,2027,2 BHK,608,915,60 L - 1.05 Cr,0.60,1.05,~12 units,RERA not located,Low,link,
164,SBS Padmarang,SBS Properties,South & Central Pune,Katraj,,Mar 2027,3,2027,"1, 1.5, 2, 3 BHK",465,820,40 - 75 L,0.40,0.75,,RERA not located,Low,link,
165,Optima The Pavillion,Optima Realty,South & Central Pune,Ambegaon Budruk,P52100046868,Jul 2027,7,2027,"1, 2 BHK",410,700,38.95 - 66.5 L,0.39,0.67,154 units / 1 ac,"Structure 58%, external 80%",High,link,
166,Chandrangan Revanta,Chandrangan Buildcon,South & Central Pune,Ambegaon Budruk,P52100047502; P52100052736,Dec 2026,12,2026,"1, 2 BHK",394,736,35.85 - 62.63 L,0.36,0.63,125 units / 0.96 ac,Structure 50% (Nov 2025),High,link,
167,Venkatesh Anandmayi,Venkatesh Buildcon,South & Central Pune,Ambegaon Budruk,P52100055046,Sep 2026,9,2026,"1, 2 BHK",602,721,65 - 74 L,0.65,0.74,46 units / 0.54 ac,"UC, advanced",High,link,
168,D and T Kadam Heritage,D and T Properties,South & Central Pune,Dhankawadi,P52100054056,Dec 2027,12,2027,"1, 2 BHK",321,952,65 L - 1.21 Cr,0.65,1.21,135 units / 0.54 ac,Structure 75% (Nov 2025),High,link,
169,Shree Sushrut Residency,Shree Kaamdhenu Buildcon,South & Central Pune,Dhankawadi,,Dec 2026,12,2026,"1, 2 BHK",285,465,45 - 75 L,0.45,0.75,25 units / 0.11 ac,Compact / affordable; RERA not located,Low,link,
170,Sai Ramana Myra,Sai Nandan Group,South & Central Pune,Dhayari,P52100053249,Dec 2027,12,2027,"1, 2 BHK",402,677,39 - 63 L,0.39,0.63,160 units / 1.43 ac,Structure 79% (Nov 2025),High,link,
171,Amruta Vihar,Amruta Developers,South & Central Pune,Dhayari,,Dec 2027,12,2027,"1, 2 BHK",455,830,35 - 70 L,0.35,0.70,,RERA not located,Low,link,
172,Samriddhi Maitree Mega City,Samriddhi Group,South & Central Pune,Dhayari,,Dec 2027,12,2027,"1, 2 BHK",310,495,20 - 40 L,0.20,0.40,,Budget segment; RERA not located,Low,link,
173,Swamisamarth 7 Skye,Swamisamarth Buildcorp,South & Central Pune,Dhayari,,Jun 2027,6,2027,"1, 2 BHK",460,710,40 - 70 L,0.40,0.70,,RERA not located,Low,link,
174,Skyi Star City (Ph VI-VIII),SKYi,South & Central Pune,Dhayari,P52100053428; P52100053471; P52100078694,May 2027,5,2027,"1, 2, 3 BHK",560,"1,067",45 - 87 L,0.45,0.87,908 units / 20 ac,"Township - early phases delivered, later phases UC",Medium,link,
175,Parmeshwari Vrindavan,Parmeshwari Group,South & Central Pune,Warje-Malwadi,P52100051813,Jul 2027,7,2027,"1, 2, 3 BHK",400,"1,022",55 L - 1.25 Cr,0.55,1.25,70 units / 1.03 ac,Structure only 35% (Jul 2024) - watch pace,Medium,link,
176,Shubh Serenity,Shubh Developers,South & Central Pune,Warje-Malwadi,P52100053397,Jun 2027,6,2027,"2, 3 BHK",831,"1,201",1.03 - 1.47 Cr,1.03,1.47,37 units / 0.74 ac,Structure 68% (Nov 2025),Medium,link,
177,Satish Bora Libero,Satish Bora & Associates,South & Central Pune,Warje,,Dec 2026,12,2026,"2, 3 BHK + PH",813,"2,364",81 L - 2.15 Cr,0.81,2.15,237 units / 1.29 ac,RERA not located,Low,link,
178,Taksh / Morya Le Phoenix,Taksh Buildcon (Morya Group),South & Central Pune,Warje,,Dec 2026,12,2026,2 BHK,890,890,70 - 75 L,0.70,0.75,24 units / 0.22 ac,RERA not located,Low,link,
179,Arham Spandan,Arham Landmarks,South & Central Pune,Warje,,Dec 2026,12,2026,"2, 2.5 BHK","1,100","1,385",1.10 - 1.40 Cr,1.10,1.40,,RERA not located,Low,link,
180,Dharmavat Sunder Srushti,Dharmavat Group,South & Central Pune,Warje,,Dec 2026,12,2026,"2, 3 BHK",815,"1,150",1.05 - 1.65 Cr,1.05,1.65,,RERA not located,Low,link,
181,Tridal Samruddhi,Tridal Associates,South & Central Pune,Vadgaon Budruk,,Sep 2026,9,2026,"1, 2 BHK",470,780,60 L - 1.0 Cr,0.60,1.00,,RERA not located,Low,link,
182,Ashwamedh Sweet Home CHS,Ashwamedh Spaces,South & Central Pune,Erandwane (Pandurang Colony),P52100076987,Mar 2027,3,2027,"2, 3 BHK",860,"1,105",1.85 - 2.42 Cr,1.85,2.42,30 units / 0.25 ac,Structure 56% (Nov 2025),High,link,
183,Kotibhaskar Chandrabhaga,Kotibhaskar Group,South & Central Pune,Erandwane,P52100077614,Oct 2027,10,2027,2 BHK,880,880,2.60 Cr+,2.60,2.60,11 units / 0.3 ac,Structure only 20% (Nov 2025) - schedule risk,Medium,link,
184,Nirman Gulmohar,Nirman Developers,South & Central Pune,Erandwane,,Dec 2027,12,2027,"1, 2, 3, 4 BHK",780,"1,390",1.20 - 4.11 Cr,1.20,4.11,6 units / 0.17 ac,Boutique redevelopment; RERA not located,Low,link,
185,Lagoo Gangadhar,Lagoo Apte Developers,South & Central Pune,Erandwane,,Mar 2027,3,2027,"1, 3, 4 BHK",470,"1,235",1.35 - 3.50 Cr,1.35,3.50,,RERA not located,Low,link,
186,Samarth Om Residency,Samarth Builders,South & Central Pune,Erandwane / Bhusari Colony,,Dec 2027,12,2027,"1, 2 BHK",480,690,70 L - 1.20 Cr,0.70,1.20,,RERA not located,Low,link,
187,Nirman Shreyas,Nirman Developers / Priveus Projects LLP,South & Central Pune,Shivajinagar,P52100054302,Dec 2027,12,2027,"2, 3 BHK",662,"1,038",1.47 - 2.30 Cr,1.47,2.30,84 units / 0.53 ac,"Structure 42%, finishing 3% (Nov 2025) - tight",Medium,link,
188,Pandit Mayflower,Pandit Javdekar,South & Central Pune,Shivajinagar / Model Colony,,Jun 2027,6,2027,"3, 4 BHK","1,550","2,450",4.10 - 6.50 Cr,4.10,6.50,,Luxury; RERA not located,Low,link,
189,Angal Saraswati Niwas,Angal & Co,South & Central Pune,Shivajinagar,,Nov 2027,11,2027,3 BHK,"1,230","1,240",2.45 - 2.50 Cr,2.45,2.50,,RERA not located,Low,link,
190,SK Fortune Kusum,SK Fortune Group,South & Central Pune,Shivajinagar,,Dec 2027,12,2027,"3, 5 BHK","1,150","2,520",3.50 - 8.00 Cr,3.50,8.00,,Luxury; RERA not located,Low,link,
191,CK Dinmanee,Chaphalkar Karandikar,South & Central Pune,Shivajinagar,,Dec 2027,12,2027,3 BHK,"1,050","1,350",2.40 - 3.40 Cr,2.40,3.40,,RERA not located,Low,link,
192,Neelsidhi The Luxe,Neelsidhi Builders,South & Central Pune,Shivajinagar,,Dec 2027,12,2027,4 BHK,"1,240","1,890",3.00 - 4.60 Cr,3.00,4.60,,Luxury; RERA not located,Low,link,
193,Kotibhaskar Aparnali,Kotibhaskar Infrastructure,South & Central Pune,Shivajinagar,,Dec 2027,12,2027,"1 RK, 2, 3 BHK",500,"1,445",85 L - 2.60 Cr,0.85,2.60,,RERA not located,Low,link,
194,Manav Midtown One,Manav Group,South & Central Pune,Camp / Rasta Peth,P52100048789,Dec 2026,12,2026,"1, 2 BHK",353,691,50.6 L+,0.51,0.51,126 units / 0.34 ac,Near-complete structure,High,link,
195,Vimond Vivencia,Vimond Realty,South & Central Pune,Koregaon Park,,Dec 2026,12,2026,"2, 3, 4 BHK",890,"1,555",2.00 - 3.50 Cr,2.00,3.50,,Luxury; RERA not located,Low,link,
196,Mangalam Life Park,Mangalam Landmark,North Pune / PCMC,Dudulgaon (Moshi belt),P52100047611,Oct 2027,10,2027,"2, 3 BHK",653,759,50.7 - 59.9 L,0.51,0.60,1010 units / 4.92 ac,"Structure 85%, external 90%, internal 45% (Nov 2025)",High,link,
197,Kesar High Street,Kesar Group,North Pune / PCMC,Moshi,P52100029284; P52100077044,Dec 2027,12,2027,"2, 3 BHK",628,822,53.4 - 69.9 L,0.53,0.70,336 units / 0.99 ac,Phase 1 complete; P52100077044 is the live UC leg,Medium,link,
198,Global Platinum City Light,Global Properties Pune,North Pune / PCMC,Moshi,,Dec 2027,12,2027,"1, 2, 3 BHK",,,31.91 L+,0.32,0.32,,RERA not located,Medium,link,
199,Shree Sai Renuka Nilay,Shree Sai Developers Moshi,North Pune / PCMC,Moshi,,Dec 2027,12,2027,"1, 2 BHK",,,33.27 L+,0.33,0.33,,RERA not located,Medium,link,
200,Kasata Kesar Highstreet C Building,Kasata Properties,North Pune / PCMC,Moshi,,Dec 2027,12,2027,"2, 3 BHK",,,On request,,,,RERA not located,Medium,link,
201,Siddhi The Address,Ellora & Siddhi Group,North Pune / PCMC,Moshi,,2026,,2026,"1, 2, 2.5, 3 BHK",,,47.62 L+,0.48,0.48,,Month not stated on source,Low,link,
202,Saste Samarth Classic,Saste Patil Developers,North Pune / PCMC,Moshi,,Dec 2026,12,2026,"1, 2 BHK",,,On request,,,,RERA not located,Medium,link,
203,GL Skylark,GL Properties Pune,North Pune / PCMC,Moshi,,Dec 2026,12,2026,"1, 2 BHK",,,On request,,,,RERA not located,Medium,link,
204,Mrunali Sai Fortune,Mrunali Realty LLP,North Pune / PCMC,Moshi,,Dec 2026,12,2026,"2, 3 BHK",,,On request,,,,RERA not located,Medium,link,
205,Nakoda Castle Gate (A + B),Nakoda Developers,North Pune / PCMC,Chikhali (nr Talwade IT Park),P52100046766; P52100051321,Dec 2027,12,2027,"1, 2 BHK",364,686,30.25 - 57 L,0.30,0.57,283 units / 1.19 ac,Structure 69% (Nov 2025),High,link,
206,Vishwa Kohinoor City 1 & 2,Vishwa Developers,North Pune / PCMC,Chikhali,P52100049952,Dec 2027,12,2027,"1, 2, 3 BHK",444,"1,732",33.38 L - 1.30 Cr,0.33,1.30,127 units / 0.73 ac,Under construction,High,link,
207,Pristine Prosperia Part 2,Pristine Properties,North Pune / PCMC,Chikhali,P52100049110,Dec 2027,12,2027,"1, 2 BHK",260,492,21.32 - 40.34 L,0.21,0.40,468 units / 4.45 ac,"Part 1 partially ready; Part 2 external 52%, internal 58%",High,link,
208,Pristine Square One,Pristine Properties,North Pune / PCMC,Chikhali,P52100033179,Dec 2026,12,2026,1 BHK,294,456,On request,,,37 units / 0.29 ac,UC; ~70% of units booked,High,link,
209,Mahalaxmi New Era,Mahalaxmi Infraestate,North Pune / PCMC,Chikhali,,Dec 2026,12,2026,"1, 2 BHK",,,On request,,,,RERA not located,Medium,link,
210,VTB Om Sai Avenue,VTB Realties,North Pune / PCMC,Chikhali,,Dec 2026,12,2026,"1, 3 BHK",,,On request,,,,RERA not located,Medium,link,
211,Paras Prasanna Paradise,Paras Properties,North Pune / PCMC,Chikhali,,Sep 2026,9,2026,"1, 2 BHK",,,On request,,,,RERA not located,Medium,link,
212,Pruthvi Misty Park,Pruthvi Developers Pune,North Pune / PCMC,Chikhali,,Dec 2026,12,2026,"2, 3 BHK",,,On request,,,,RERA not located,Medium,link,
213,Pride World City - Wellington,Pride Group,North Pune / PCMC,Charholi Budruk,P52100032380; P52100045786; P52100052379; P52100031008; P52100048477; P52100054534,Sep 2026,9,2026,"2, 3, 4 BHK",785,"1,310",84.74 L - 1.41 Cr,0.85,1.41,1834 units / 400-ac township,Structure 94% (Nov 2025); partially ready-to-move,High,link,
214,"R P Boston (A, B, C)",Pride Builders LLP,North Pune / PCMC,Charholi,,Dec 2026,12,2026,"1, 2 BHK",490,631,On request,,,,RERA not located,Medium,link,
215,Pragati Divine City Ph 1 Bldg B,Pragati Realty,North Pune / PCMC,Charholi,,Feb 2027,2,2027,2 BHK,533,621,On request,,,,RERA not located,Medium,link,
216,Siddhivinayak Exotica,Avis Group + Siddhivinayak,North Pune / PCMC,Bhosari,,Dec 2026,12,2026,"1, 2, 3 BHK",539,930,On request,,,,RERA not located,Medium,link,
217,Samarth Mrudula Residency,Samarth Associates Pune,North Pune / PCMC,Bhosari,,Sep 2026,9,2026,"1 RK, 1 BHK",218,582,24.6 L+,0.25,0.25,,RERA not located,Medium,link,
218,Tirupathi Shrikisan Enclave,Tirupathi Properties,North Pune / PCMC,Bhosari,,Jul 2027,7,2027,1 RK,674,674,On request,,,,1RK-only stock; RERA not located,Medium,link,
219,Kamalraj Devgiri,Kamalraj Realtors,North Pune / PCMC,"Vijay Nagar, Dighi",,Dec 2026,12,2026,"1, 2 BHK",476,646,On request,,,,RERA not located,Medium,link,
220,Shreeyash Madhav Park,Shreeyash Builders,North Pune / PCMC,Dighi,,Dec 2026,12,2026,"1, 2 BHK",296,486,30 L+,0.30,0.30,,RERA not located,Medium,link,
221,Yashashree Mauli Prastha,Yashashree Promoters,North Pune / PCMC,Dighi,,Dec 2026,12,2026,"1, 2, 3 BHK",388,698,On request,,,,RERA not located,Medium,link,
222,S K Sudiksha Landmark,S K Buildcon,North Pune / PCMC,Alandi,,Dec 2026,12,2026,2 BHK,368,376,On request,,,,RERA not located,Medium,link,
223,Calyx Atulya Raghukul Bldg C,Calyx Constructions,North Pune / PCMC,Alandi,,Dec 2026,12,2026,"1, 2 BHK",232,377,14.44 - 23.97 L,0.14,0.24,,RERA not located,Medium,link,
224,Indrayani Tower,Nandkumar P. Kurhade,North Pune / PCMC,Alandi,,Dec 2027,12,2027,2 BHK,223,614,On request,,,,RERA not located,Medium,link,
225,Kate Siddhivinayak Residency,Kate Builders,North Pune / PCMC,Chakan,,Mar 2027,3,2027,"1, 2 BHK",354,544,On request,,,,RERA not located,Medium,link,
226,Dnyanada City & Commercial Centre,Dnyanada Builders,North Pune / PCMC,Chakan,,Dec 2027,12,2027,1 RK - 3 BHK,309,"1,289",18.86 - 78.74 L,0.19,0.79,,Mixed residential/commercial; RERA not located,Medium,link,
227,Swami Kalpavruksh Heights,Swami Samarth Buildcon,North Pune / PCMC,Chakan,,Dec 2027,12,2027,"1, 2 BHK",315,681,On request,,,,RERA not located,Medium,link,
228,Bhagyalaxmi Mangalam Aura,Bhagyalaxmi Constructions,North Pune / PCMC,Chakan,,Dec 2027,12,2027,"1, 2 BHK",421,600,On request,,,,RERA not located,Medium,link,
229,Sara City C4,Sara Group,North Pune / PCMC,Chakan,,Dec 2027,12,2027,1 BHK,279,310,On request,,,,RERA not located,Medium,link,
